"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-62.28","82.52","ALERT","2400300","1953-11","1953","11","-21.1","","-28.2","","-24.7","","-12.8","","-35.6","","0.0","","1.5","","1.5","","48","","","","",""
"-62.28","82.52","ALERT","2400300","1953-12","1953","12","-26.7","","-32.9","","-29.8","","-18.9","","-40.0","S","0.0","","6.4","","6.4","","56","","","","",""
"-62.28","82.52","ALERT","2400300","1954-01","1954","01","-30.3","","-37.9","","-34.1","","-13.9","","-43.9","","0.0","","1.5","","1.5","","56","","","","",""
"-62.28","82.52","ALERT","2400300","1954-02","1954","02","-32.1","","-38.2","","-35.2","","-16.1","","-43.3","","0.0","","5.1","","5.1","","61","","","","",""
"-62.28","82.52","ALERT","2400300","1954-03","1954","03","-32.1","","-39.6","","-35.9","","-21.1","","-42.8","S","0.0","","6.1","","6.1","","53","","","","",""
"-62.28","82.52","ALERT","2400300","1954-04","1954","04","-20.0","","-29.1","","-24.6","","-5.6","","-45.6","S","0.0","","1.8","","1.8","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1954-05","1954","05","-4.7","","-13.6","","-9.2","","5.6","","-25.0","","0.0","","2.0","","2.0","","15","","","","",""
"-62.28","82.52","ALERT","2400300","1954-06","1954","06","1.4","","-3.1","","-0.9","","9.4","","-10.0","","0.5","","1.8","","2.3","","3","","","","",""
"-62.28","82.52","ALERT","2400300","1954-07","1954","07","9.2","","2.0","","5.6","","15.6","S","-2.2","","17.5","","6.9","","24.4","","","M","","","",""
"-62.28","82.52","ALERT","2400300","1954-08","1954","08","5.8","","0.2","","3.0","","15.0","","-3.3","S","58.9","","8.6","","67.6","","","M","","","",""
"-62.28","82.52","ALERT","2400300","1954-09","1954","09","-4.1","","-9.3","","-6.7","","3.9","S","-21.1","","0.0","T","50.8","","50.8","","30","","","","",""
"-62.28","82.52","ALERT","2400300","1954-10","1954","10","-16.3","","-24.0","","-20.2","","-3.3","","-30.6","","0.0","","3.6","","3.6","","33","","","","",""
"-62.28","82.52","ALERT","2400300","1954-11","1954","11","-21.2","","-29.0","","-25.1","","-15.6","S","-34.4","","0.0","","5.3","","5.3","","","M","","","",""
"-62.28","82.52","ALERT","2400300","1954-12","1954","12","-26.4","","-35.4","","-30.9","","-16.1","","-40.0","S","0.0","","0.0","T","0.0","T","","M","","","",""
"-62.28","82.52","ALERT","2400300","1955-01","1955","01","-26.5","","-34.2","","-30.4","","-15.0","","-42.2","","0.0","","1.3","","1.3","","41","","","","",""
"-62.28","82.52","ALERT","2400300","1955-02","1955","02","-30.6","","-39.2","","-34.9","","-4.4","","-45.6","","0.0","","0.0","T","0.0","T","41","","","","",""
"-62.28","82.52","ALERT","2400300","1955-03","1955","03","-30.1","","-38.1","","-34.1","","-22.2","","-42.8","","0.0","","2.8","","2.8","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1955-04","1955","04","-19.3","","-28.3","","-23.8","","-6.7","","-40.0","S","0.0","","4.6","","4.6","","48","","","","",""
"-62.28","82.52","ALERT","2400300","1955-05","1955","05","-11.7","","-17.5","","-14.6","","-1.7","","-24.4","","0.0","","3.0","","3.0","","30","","","","",""
"-62.28","82.52","ALERT","2400300","1955-06","1955","06","2.7","","-2.9","","-0.1","","11.1","S","-9.4","","0.5","","7.6","","8.1","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1955-07","1955","07","2.5","","-1.1","","0.7","","9.4","","-3.9","S","2.3","","22.6","","24.9","","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1955-08","1955","08","3.1","","-1.2","","1.0","","7.8","S","-5.6","S","1.5","","9.4","","10.9","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1955-09","1955","09","-5.9","","-12.1","","-9.0","","3.3","","-20.6","","0.3","","32.8","","33.0","","25","","","","",""
"-62.28","82.52","ALERT","2400300","1955-10","1955","10","-11.3","","-18.7","","-15.0","","0.6","","-28.9","S","0.0","","19.3","","19.3","","51","","","","",""
"-62.28","82.52","ALERT","2400300","1955-11","1955","11","-23.1","","-30.2","","-26.7","","-3.3","","-37.8","S","0.0","","3.3","","3.3","","56","","","","",""
"-62.28","82.52","ALERT","2400300","1955-12","1955","12","-27.1","","-35.8","","-31.5","","-18.3","S","-44.4","","0.0","","3.8","","3.8","","58","","","","",""
"-62.28","82.52","ALERT","2400300","1956-01","1956","01","-30.1","","-37.5","","-33.8","","-18.9","","-44.4","S","0.0","","4.3","","4.3","","64","","","","",""
"-62.28","82.52","ALERT","2400300","1956-02","1956","02","-28.0","","-34.6","","-31.3","","-16.1","","-41.7","","0.0","","4.3","","4.3","","69","","","","",""
"-62.28","82.52","ALERT","2400300","1956-03","1956","03","-31.2","","-38.8","","-35.0","","-19.4","","-47.2","","0.0","","2.0","","2.0","","71","","","","",""
"-62.28","82.52","ALERT","2400300","1956-04","1956","04","-16.9","","-25.2","","-21.1","","-6.7","","-37.2","","0.0","","5.3","","5.3","","76","","","","",""
"-62.28","82.52","ALERT","2400300","1956-05","1956","05","-13.8","","-20.2","","-17.0","","-6.1","S","-26.7","","0.0","","10.7","","10.7","","86","","","","",""
"-62.28","82.52","ALERT","2400300","1956-06","1956","06","2.1","","-4.2","","-1.1","","13.9","","-12.2","","32.0","","3.3","","35.3","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1956-07","1956","07","11.0","","1.3","","6.2","","20.0","","-1.7","","11.7","","0.5","","12.2","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1956-08","1956","08","3.2","","-1.2","","1.0","","13.9","","-8.9","","0.0","T","9.9","","9.9","","5","","","","",""
"-62.28","82.52","ALERT","2400300","1956-09","1956","09","-10.5","","-15.3","","-12.9","","-1.7","S","-26.1","","0.0","T","11.2","","11.2","","18","","","","",""
"-62.28","82.52","ALERT","2400300","1956-10","1956","10","-18.5","","-25.9","","-22.2","","-6.7","","-32.8","S","0.0","","4.3","","4.3","","20","","","","",""
"-62.28","82.52","ALERT","2400300","1956-11","1956","11","-22.6","","-30.1","","-26.4","","-9.4","","-36.1","","0.0","","15.2","","15.2","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1956-12","1956","12","-22.4","","-30.6","","-26.5","","-16.7","S","-37.2","","0.0","","12.2","","12.2","","48","","","","",""
"-62.28","82.52","ALERT","2400300","1957-01","1957","01","-30.8","","-38.0","","-34.4","","-8.3","","-44.4","S","0.0","","7.1","","7.1","","56","","","","",""
"-62.28","82.52","ALERT","2400300","1957-02","1957","02","-24.8","","-33.9","","-29.4","","-6.1","","-40.6","","0.0","","1.5","","1.5","","58","","","","",""
"-62.28","82.52","ALERT","2400300","1957-03","1957","03","-23.5","","-33.5","","-28.5","","-2.2","","-43.9","","0.0","","14.5","","14.5","","71","","","","",""
"-62.28","82.52","ALERT","2400300","1957-04","1957","04","-23.9","","-31.2","","-27.6","","-17.8","S","-39.4","","0.0","","4.8","","4.8","","79","","","","",""
"-62.28","82.52","ALERT","2400300","1957-05","1957","05","-9.4","","-15.0","","-12.2","","0.0","","-27.2","","0.0","T","7.6","","7.6","","71","","","","",""
"-62.28","82.52","ALERT","2400300","1957-06","1957","06","2.9","","-2.6","","0.2","","17.2","","-10.0","","0.0","T","0.0","T","0.0","T","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1957-07","1957","07","8.3","","2.2","","5.3","","16.7","","-1.7","","0.5","","0.0","T","0.5","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1957-08","1957","08","3.8","","-1.4","","1.2","","14.4","S","-6.7","","4.3","","8.1","","12.4","","3","","","","",""
"-62.28","82.52","ALERT","2400300","1957-09","1957","09","-7.1","","-13.0","","-10.1","","1.1","","-23.9","","0.0","T","25.7","","25.7","","28","","","","",""
"-62.28","82.52","ALERT","2400300","1957-10","1957","10","-14.7","","-21.7","","-18.2","","-3.3","","-32.8","","0.0","","23.9","","23.9","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1957-11","1957","11","-24.1","","-31.1","","-27.6","","-12.2","","-39.4","","0.0","","2.5","","2.5","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1957-12","1957","12","-32.3","","-39.1","","-35.7","","-16.7","","-45.0","","0.0","","1.8","","1.8","","41","","","","",""
"-62.28","82.52","ALERT","2400300","1958-01","1958","01","-21.3","","-29.3","","-25.3","","0.0","S","-42.8","S","0.3","","9.4","","9.7","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1958-02","1958","02","-30.1","","-38.7","","-34.4","","-13.3","","-46.1","","0.0","","2.8","","2.8","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1958-03","1958","03","-25.7","","-34.1","","-29.9","","-11.7","S","-40.6","","0.0","","1.0","","1.0","","28","","","","",""
"-62.28","82.52","ALERT","2400300","1958-04","1958","04","-23.8","","-31.3","","-27.6","","-7.2","","-39.4","","0.0","","5.1","","5.1","","25","","","","",""
"-62.28","82.52","ALERT","2400300","1958-05","1958","05","-6.2","","-11.8","","-9.0","","0.6","","-17.8","","0.0","","11.2","","11.2","","20","","","","",""
"-62.28","82.52","ALERT","2400300","1958-06","1958","06","2.2","","-1.8","","0.2","","6.1","","-8.3","","0.0","T","0.8","","0.8","","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1958-07","1958","07","7.1","","1.8","","4.5","","16.1","","-1.7","","8.6","","1.8","","10.4","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1958-08","1958","08","3.5","","-0.6","","1.5","","7.2","","-5.0","","18.5","","3.0","","21.6","","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1958-09","1958","09","-5.4","","-10.6","","-8.0","","5.6","","-25.0","","0.0","","26.7","","26.7","","23","","","","",""
"-62.28","82.52","ALERT","2400300","1958-10","1958","10","-15.8","","-22.4","","-19.1","","-6.7","S","-31.7","S","0.0","","7.4","","7.4","","25","","","","",""
"-62.28","82.52","ALERT","2400300","1958-11","1958","11","-25.3","","-32.1","","-28.7","","-13.9","","-40.0","","0.0","","7.4","","7.4","","28","","","","",""
"-62.28","82.52","ALERT","2400300","1958-12","1958","12","-24.2","","-32.9","","-28.6","","-8.3","","-41.7","","0.0","","16.3","","16.3","","41","","","","",""
"-62.28","82.52","ALERT","2400300","1959-01","1959","01","-27.6","","-35.5","","-31.6","","-7.2","","-42.8","S","0.0","","4.1","","4.1","","43","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-02","1959","02","-29.1","","-35.9","","-32.5","","-16.1","","-43.3","","0.0","","9.7","","9.7","","51","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-03","1959","03","-29.1","","-35.9","","-32.5","","-18.9","","-41.1","","0.0","","11.7","","11.7","","56","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-04","1959","04","-18.2","","-26.7","","-22.5","","-6.1","","-41.1","","0.0","","5.3","","5.3","","36","","23","","113",""
"-62.28","82.52","ALERT","2400300","1959-05","1959","05","-9.5","","-15.7","","-12.6","","-0.6","","-22.2","","0.0","","5.3","","5.3","","33","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-06","1959","06","1.5","","-2.6","","-0.6","","9.4","","-7.2","","0.0","","6.6","","6.6","","5","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-07","1959","07","4.3","","0.0","","2.2","","13.9","","-3.3","","7.1","","5.8","","13.0","","0","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-08","1959","08","2.1","","-1.9","","0.1","","13.3","","-7.2","","0.0","T","28.4","","28.4","","10","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-09","1959","09","-8.6","","-16.2","","-12.4","","-2.8","","-26.1","","0.0","T","30.5","","30.5","","20","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-10","1959","10","-19.3","","-26.0","","-22.7","","-12.8","","-33.9","","0.0","","16.3","","16.3","","33","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-11","1959","11","-16.9","","-25.4","","-21.2","","-1.1","","-37.8","","0.0","","12.4","","12.4","","30","","","","<31",""
"-62.28","82.52","ALERT","2400300","1959-12","1959","12","-25.8","","-34.8","","-30.3","","-11.7","","-43.9","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-62.28","82.52","ALERT","2400300","1960-01","1960","01","-23.8","","-34.2","","-29.0","","-5.6","","-42.2","S","0.0","","8.6","","8.6","","28","","","","",""
"-62.28","82.52","ALERT","2400300","1960-02","1960","02","-26.6","","-36.8","","-31.7","","-1.1","","-45.6","","0.0","","8.6","","8.6","","30","","","","",""
"-62.28","82.52","ALERT","2400300","1960-03","1960","03","-32.5","","-39.9","","-36.2","","-24.4","S","-47.8","","0.0","","3.0","","3.0","","30","","","","",""
"-62.28","82.52","ALERT","2400300","1960-04","1960","04","-23.4","","-30.9","","-27.2","","-11.1","","-40.6","","0.0","","7.9","","7.9","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1960-05","1960","05","-6.9","","-12.2","","-9.6","","1.1","","-24.4","","0.0","","16.8","","16.8","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1960-06","1960","06","2.4","","-1.7","","0.4","","10.6","","-7.8","","10.9","","4.6","","15.5","","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1960-07","1960","07","8.6","","1.4","","5.0","","17.2","","-1.7","","7.4","","6.6","","14.0","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1960-08","1960","08","2.7","","-1.6","","0.6","","14.4","","-10.6","","2.3","","15.5","","17.8","","13","","","","",""
"-62.28","82.52","ALERT","2400300","1960-09","1960","09","-6.6","","-11.1","","-8.9","","-1.1","","-24.4","","0.0","","26.9","","26.9","","33","","","","",""
"-62.28","82.52","ALERT","2400300","1960-10","1960","10","-16.1","","-23.5","","-19.8","","-2.2","","-30.6","S","0.0","","13.7","","13.7","","46","","","","",""
"-62.28","82.52","ALERT","2400300","1960-11","1960","11","-22.7","","-30.3","","-26.5","","-7.2","","-39.4","S","0.0","","0.0","T","0.0","T","46","","","","",""
"-62.28","82.52","ALERT","2400300","1960-12","1960","12","-26.3","","-33.8","","-30.1","","-16.7","","-40.0","S","0.0","","4.6","","4.6","","48","","","","",""
"-62.28","82.52","ALERT","2400300","1961-01","1961","01","-29.4","","-35.4","","-32.4","","-15.0","","-41.1","S","0.0","","2.5","","2.5","","48","","","","",""
"-62.28","82.52","ALERT","2400300","1961-02","1961","02","-31.2","","-37.8","","-34.5","","-17.2","","-46.7","","0.0","","2.0","","2.0","","51","","","","",""
"-62.28","82.52","ALERT","2400300","1961-03","1961","03","-33.1","","-40.1","","-36.6","","-23.9","","-48.3","","0.0","","7.4","","7.4","","58","","","","",""
"-62.28","82.52","ALERT","2400300","1961-04","1961","04","-20.1","","-28.9","","-24.5","","-9.4","S","-38.9","S","0.0","","6.9","","6.9","","66","","","","",""
"-62.28","82.52","ALERT","2400300","1961-05","1961","05","-12.2","","-18.4","","-15.3","","-0.6","","-27.2","S","0.0","","8.4","","8.4","","58","","","","",""
"-62.28","82.52","ALERT","2400300","1961-06","1961","06","0.5","","-4.0","","-1.8","","7.2","","-10.6","","0.0","T","19.6","","19.6","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1961-07","1961","07","8.0","","1.9","","5.0","","16.7","","-2.2","S","1.5","","6.6","","8.1","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1961-08","1961","08","-0.7","","-3.9","","-2.3","","4.4","S","-9.4","S","0.5","","1.3","","1.8","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1961-09","1961","09","-9.0","","-16.0","","-12.5","","-3.3","","-24.4","","0.0","","26.7","","26.7","","30","","","","",""
"-62.28","82.52","ALERT","2400300","1961-10","1961","10","-15.2","","-23.5","","-19.4","","-3.3","","-30.0","S","0.0","","11.7","","11.7","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1961-11","1961","11","-19.2","","-27.4","","-23.3","","-11.1","S","-36.1","","0.0","","3.0","","3.0","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1961-12","1961","12","-24.7","","-32.8","","-28.8","","-10.6","","-39.4","","0.0","","2.0","","2.0","","41","","","","",""
"-62.28","82.52","ALERT","2400300","1962-01","1962","01","-27.8","","-36.1","","-32.0","","-6.7","","-44.4","","0.0","","3.0","","3.0","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1962-02","1962","02","-30.0","","-37.1","","-33.6","","-20.6","","-42.2","","0.0","","1.3","","1.3","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1962-03","1962","03","-24.3","","-33.3","","-28.8","","-14.4","","-42.2","S","0.0","","1.3","","1.3","","46","","","","",""
"-62.28","82.52","ALERT","2400300","1962-04","1962","04","-20.5","","-28.1","","-24.3","","-11.1","","-38.9","","0.0","","2.3","","2.3","","46","","","","",""
"-62.28","82.52","ALERT","2400300","1962-05","1962","05","-8.8","","-14.6","","-11.7","","-1.7","","-19.4","","0.0","","10.7","","10.7","","48","","","","",""
"-62.28","82.52","ALERT","2400300","1962-06","1962","06","3.7","","-1.3","","1.2","","12.2","","-11.7","","0.3","","4.6","","4.8","","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1962-07","1962","07","9.0","","2.1","","5.6","","18.3","","-1.1","S","18.5","","8.4","","26.9","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1962-08","1962","08","5.1","","-1.6","","1.8","","18.3","","-11.7","","0.0","","26.7","","26.7","","23","","","","",""
"-62.28","82.52","ALERT","2400300","1962-09","1962","09","-6.5","","-14.1","","-10.3","","2.2","","-26.1","","0.0","","33.3","","33.3","","28","","","","",""
"-62.28","82.52","ALERT","2400300","1962-10","1962","10","-17.2","","-23.7","","-20.5","","-10.0","","-39.4","","0.0","","12.2","","12.2","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1962-11","1962","11","-20.8","","-28.4","","-24.6","","-10.6","","-36.1","","0.0","","18.8","","18.8","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1962-12","1962","12","-24.3","","-32.1","","-28.2","","-4.4","","-38.3","S","0.0","","2.3","","2.3","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1963-01","1963","01","-29.0","","-36.6","","-32.8","","-12.2","S","-42.8","","0.0","","2.8","","2.8","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1963-02","1963","02","-25.7","","-34.2","","-30.0","","0.6","","-42.2","","0.0","","4.1","","4.1","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1963-03","1963","03","-29.8","","-36.7","","-33.3","","-16.7","","-41.1","","0.0","","0.8","","0.8","","43","","","","",""
"-62.28","82.52","ALERT","2400300","1963-04","1963","04","-17.2","","-26.2","","-21.7","","-4.4","S","-38.3","","0.0","","2.3","","2.3","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1963-05","1963","05","-10.9","","-16.6","","-13.8","","-3.9","","-22.2","","0.0","","15.7","","15.7","","41","","","","",""
"-62.28","82.52","ALERT","2400300","1963-06","1963","06","0.2","","-6.2","","-3.0","","3.3","S","-13.9","S","0.0","","12.4","","12.4","","15","","","","",""
"-62.28","82.52","ALERT","2400300","1963-07","1963","07","5.4","","-0.1","","2.7","","13.9","","-5.0","","0.0","T","2.3","","2.8","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1963-08","1963","08","6.0","","-1.4","","2.3","","15.6","","-8.9","","1.8","","22.1","","24.1","","5","","","","",""
